//id	prefab	search dist	strafe min	strafe max	hp	bp	atk	def	brk	lv	exp	gold	skills	trigger radius	killedscore
1754	Characters/Pets/Demo/Bear_01_As_Pet	10	0.5	1.5	100	360	25.13333333	16	2.333333333	4	4	5	1503,1513,1523	7	0
1755	Characters/Pets/Demo/Bear_01_As_Pet	10	0.5	1.5	100	380	34.2	20	2.555555556	5	5	6	1504,1514,1524	7	0
2001	Characters/Mobs/Demo/Monster_01	7	0.5	1.5	30	300	12.5	10	1.666666667	1	2	2	1600,1610,1620	5	1
2002	Characters/Mobs/Demo/Monster_01	7	0.5	1.5	30	320	14.4375	11	1.888888889	2	3	4	1601,1611,1621	5	1
2003	Characters/Mobs/Demo/Monster_01	7	0.5	1.5	30	340	17.96875	13	2.111111111	3	3	4	1602,1612,1622	5	1
2004	Characters/Mobs/Demo/Monster_01	7	0.5	1.5	30	360	23.5625	16	2.333333333	4	4	5	1603,1613,1623	5	1
2005	Characters/Mobs/Demo/Monster_01	7	0.5	1.5	30	380	32.0625	20	2.555555556	5	5	6	1604,1614,1624	5	1
2006	Characters/Mobs/Demo/Monster_02	7	0.5	1.5	50	300	10	10	1.666666667	1	2	2	1630,1640,1650	5	1
2007	Characters/Mobs/Demo/Monster_02	7	0.5	1.5	50	320	11.55	11	1.888888889	2	3	4	1631,1641,1651	5	1
2008	Characters/Mobs/Demo/Monster_02	7	0.5	1.5	50	340	14.375	13	2.111111111	3	3	4	1632,1642,1652	5	1
2009	Characters/Mobs/Demo/Monster_02	7	0.5	1.5	50	360	18.85	16	2.333333333	4	4	5	1633,1643,1653	5	1
2010	Characters/Mobs/Demo/Monster_02	7	0.5	1.5	50	380	25.65	20	2.555555556	5	5	6	1634,1644,1654	5	1
2501	Characters/Mobs/Demo/Whale_01	7	0.5	1.5	250	420	122.4875	31	3	7	5	7	2000,2010,2020	15	3
20001	Objects/01_BuildMode/008_s01_door_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
20002	Objects/01_BuildMode/008_s01_door_02	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
20003	Objects/01_BuildMode/008_s01_door_03	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
20004	Objects/01_BuildMode/038_s00_door_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
30001	Objects/05_Utilities/004_s00_coralheart_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	2	0
31000	Objects/05_Utilities/032_s00_Plaster_Statue_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	2	0
31001	Objects/05_Utilities/031_s00_Plaster_Book_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	2	0
31002	Objects/05_Utilities/033_s00_Plaster_Statue_02	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	2	0
31003	Objects/05_Utilities/034_s00_Plaster_Statue_03	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	2	0
31004	Objects/05_Utilities/035_s00_Plaster_Statue_04	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	2	0
31005	Objects/05_Utilities/036_s00_Plaster_Statue_05	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	2	0
40000	Objects/05_Utilities/001_s00_button_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
40001	Objects/05_Utilities/002_s00_button_02	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
41000	Objects/05_Utilities/026_s03_password_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
41001	Objects/05_Utilities/034_s03_projection_screen_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
42000	Objects/05_Utilities/009_s00_effectfloor_01	0.5	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10203	1	0
42001	Objects/05_Utilities/010_s00_effectfloor_02	0.5	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10201	1	0
42002	Objects/05_Utilities/011_s00_effectfloor_03	0.5	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10200	1	0
42003	Objects/05_Utilities/012_s00_effectfloor_04	0.5	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10204	1	0
42004	Objects/05_Utilities/013_s00_effectfloor_05	0.5	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10202	1	0
42005	Objects/05_Utilities/014_s00_effectfloor_06	0.5	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10201,10202,10203,10204,10002	1	0
43000	Objects/05_Utilities/017_s00_GPFort_01	25	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10100	2	0
43001	Objects/05_Utilities/017_s00_GPFort_02	25	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10100	2	0
43002	Objects/05_Utilities/017_s00_GPFort_03	25	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10100	2	0
43003	Objects/05_Utilities/019_s03_fort_01	25	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10101	2	0
44000	Objects/05_Utilities/019_s00_spring_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10000	1	0
44001	Objects/05_Utilities/003_s00_conveyor_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10001	1	0
45000	Objects/05_Utilities/018_s00_Portal_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1.2	0
60000	Objects/05_Utilities/000_PickUp_CureBall	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1.2	0
60001	Objects/05_Utilities/000_PickUp_PetDice	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1.2	0
61000	Objects/05_Utilities/005_s00_Cube_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1.2	0
61001	Objects/05_Utilities/005_s00_Cube_03	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1.2	0
62000	Objects/05_Utilities/005_s00_Cube_02	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1.2	0
62001	Objects/05_Utilities/005_s00_Cube_04	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1.2	0
63000	Objects/05_Utilities/020_s03_lemon	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1.2	0
