//id	prefab	search dist	strafe min	strafe max	hp	bp	atk	def	brk	lv	exp	gold	skills	trigger radius
1754	Characters/Pets/Demo/Bear_01_As_Pet	10	0.5	1.5	100	360	25.13333333	16	2.333333333	4	4	5	1503,1513,1523	7
1755	Characters/Pets/Demo/Bear_01_As_Pet	10	0.5	1.5	100	380	34.2	20	2.555555556	5	5	6	1504,1514,1524	7
2001	Characters/Mobs/Demo/Monster_01	7	0.5	1.5	30	300	12.5	10	1.666666667	1	2	2	1600,1610,1620	5
2002	Characters/Mobs/Demo/Monster_01	7	0.5	1.5	30	320	14.4375	11	1.888888889	2	3	4	1601,1611,1621	5
2003	Characters/Mobs/Demo/Monster_01	7	0.5	1.5	30	340	17.96875	13	2.111111111	3	3	4	1602,1612,1622	5
2004	Characters/Mobs/Demo/Monster_01	7	0.5	1.5	30	360	23.5625	16	2.333333333	4	4	5	1603,1613,1623	5
2005	Characters/Mobs/Demo/Monster_01	7	0.5	1.5	30	380	32.0625	20	2.555555556	5	5	6	1604,1614,1624	5
2006	Characters/Mobs/Demo/Monster_02	7	0.5	1.5	50	300	10	10	1.666666667	1	2	2	1630,1640,1650	5
2007	Characters/Mobs/Demo/Monster_02	7	0.5	1.5	50	320	11.55	11	1.888888889	2	3	4	1631,1641,1651	5
2008	Characters/Mobs/Demo/Monster_02	7	0.5	1.5	50	340	14.375	13	2.111111111	3	3	4	1632,1642,1652	5
2009	Characters/Mobs/Demo/Monster_02	7	0.5	1.5	50	360	18.85	16	2.333333333	4	4	5	1633,1643,1653	5
2010	Characters/Mobs/Demo/Monster_02	7	0.5	1.5	50	380	25.65	20	2.555555556	5	5	6	1634,1644,1654	5
2501	Characters/Mobs/Demo/Whale_01	7	0.5	1.5	250	420	23	31	3	7	5	7	2000,2010,2020	15
20001	Objects/00_Base/008_s01_door_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1
20002	Objects/00_Base/008_s01_door_02	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1
20003	Objects/00_Base/008_s01_door_03	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1
20004	Objects/00_Base/038_s00_door_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1
30001	Objects/06_Gameplay/004_s00_coralheart_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	2
40001	Objects/06_Gameplay/032_s00_Plaster_Statue_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	2
40002	Objects/06_Gameplay/031_s00_Plaster_Book_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	2
40003	Objects/06_Gameplay/033_s00_Plaster_Statue_02	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	2
40004	Objects/06_Gameplay/034_s00_Plaster_Statue_03	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	2
40005	Objects/06_Gameplay/035_s00_Plaster_Statue_04	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	2
40006	Objects/06_Gameplay/036_s00_Plaster_Statue_05	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	2
60001	Objects/06_Gameplay/009_s00_effectfloor_01	0.5	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10203	1
60002	Objects/06_Gameplay/010_s00_effectfloor_02	0.5	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10201	1
60003	Objects/06_Gameplay/011_s00_effectfloor_03	0.5	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10200	1
60004	Objects/06_Gameplay/012_s00_effectfloor_04	0.5	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10204	1
60005	Objects/06_Gameplay/013_s00_effectfloor_05	0.5	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10202	1
60006	Objects/06_Gameplay/014_s00_effectfloor_06	0.5	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10201,10202,10203,10204,10002	1
65001	Objects/06_Gameplay/017_s00_GPFort_01	25	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10100	2
65002	Objects/06_Gameplay/017_s00_GPFort_02	25	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10100	2
65003	Objects/06_Gameplay/017_s00_GPFort_03	25	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10100	2
65004	Objects/06_Gameplay/019_s03_fort_01	25	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10101	2
70001	Objects/06_Gameplay/001_s00_button_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1
70002	Objects/06_Gameplay/002_s00_button_02	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1
70003	Objects/06_Gameplay/006_s03_buttonmachine_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1
70004	Objects/06_Gameplay/026_s03_password_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1
70005	Objects/06_Gameplay/034_s03_projection_screen_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1
80001	Objects/06_Gameplay/019_s00_spring_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10000	1
80002	Objects/06_Gameplay/003_s00_conveyor_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	10001	1
